Id,Level,Indicator
1,Companion,Able to organize own thoughts and outline intended meaning of a message. 
2,Companion,Able to identify and may employ active listening skills. 
3,Companion,Able to identify common nonverbal cues. 
4,Companion,Able to identify various media used to deliver messages.
5,Companion,Able to comprehend the content of oral and written messages by applying personal context to interpret the meaning.
6,Companion,"Able to present simple, familiar information to familiar audiences by using preferred method of communication. "
7,Companion,Able to present intentions and ideas to a familiar individual when prompted by the individual. 
8,Contributor,Able to select the most appropriate medium of communication to deliver a meaningful message. 
9,Contributor,Able to clearly and concisely deliver the meaning of a message using various media. 
10,Contributor,Able to actively listen to others and clarify the meaning of a message. 
11,Contributor,Able to evaluate previous interactions and develop a communication strategy to accommodate audiencesê preferences. 
12,Contributor,Able to present written communication in an easy_to-read format. 
13,Contributor,"Able to articulate intentions, ideas and feelings to a large group. "
14,Contributor,Able to articulate thoughts using proper grammar in written and verbal form. 
15,Contributor,Able to deliver an informational message which encourages others to take action.
16,Champion,Able to evaluate the environment and/or audience to determine the most appropriate medium for delivering a meaningful message.
17,Champion,Able to determine the effectiveness of a chosen medium in delivering a message.
18,Champion,Able to deliver an inspiring and informative message regarding departmental and/or organizational objectives using multiple modes of communication. 
19,Champion,Able to paraphrase or extract meaning from othersê communication.  
20,Champion,Able to identify and interpret nonverbal cues.
21,Champion,Able to adjust communication approach while delivering a message by analyzing the audienceês verbal and nonverbal cues. 
22,Champion,Able to encourage others to openly and clearly express intentions and ideas. 
23,Champion,Able to help others develop appropriate and effective communication strategies.   
24,Champion,"Able to clarify complex information into simple, easy-to-understand terms and translate complex concepts for a broader audience."